ICBCT.IS,ICBC Turkey Bank A.S.,12366799872,Turkey,N/A,Financial Services,Banks - Regional
IEYHO.IS,Isiklar Enerji ve Yapi Holding A.S.,2685364480,Turkey,N/A,Consumer Cyclical,Textile Manufacturing
IHLAS.IS,Ihlas Holding A.S.,1774616960,Turkey,N/A,Industrials,Conglomerates
IHLGM.IS,Ihlas Gayrimenkul Proje Gelistirme ve Ticaret A.S.,1690000000,Turkey,N/A,Real Estate,Real Estate - Diversified
IPEKE.IS,Ipek Dogal Enerji Kaynaklari Arastirma ve Üretim A.S.,12204745728,Turkey,N/A,Basic Materials,Gold
ISCTR.IS,Türkiye Is Bankasi A.S.,266004496384,Turkey,N/A,Financial Services,Banks - Regional
ISGYO.IS,Is Gayrimenkul Yatirim Ortakligi A.S.,22856599552,Turkey,N/A,Real Estate,REIT - Diversified
KARSN.IS,Karsan Otomotiv Sanayii ve Ticaret A.S.,11276999680,Turkey,N/A,Consumer Cyclical,Auto Manufacturers
KARTN.IS,Kartonsan Karton Sanayi ve Ticaret A.S.,7019999744,Turkey,N/A,Consumer Cyclical,Packaging & Containers
KCHOL.IS,Koç Holding A.S.,397505232896,Turkey,N/A,Industrials,Conglomerates
KLGYO.IS,Kiler Gayrimenkul Yatirim Ortakligi A.S.,5747400192,Turkey,N/A,Real Estate,REIT - Diversified
KORDS.IS,Kordsa Teknik Tekstil A.S.,18733142016,Turkey,N/A,Consumer Cyclical,Textile Manufacturing
KOZAA.IS,Koza Anadolu Metal Madencilik Isletmeleri A.S.,27398447104,Turkey,N/A,Basic Materials,Other Industrial Metals & Mining
KOZAL.IS,Koza Altin Isletmeleri A.S.,92680355840,Turkey,N/A,Basic Materials,Gold
KRDMD.IS,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.S.,36043534336,Turkey,N/A,Basic Materials,Steel
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,22286061568,Turkey,N/A,Consumer Cyclical,Apparel Retail
METRO.IS,Metro Ticari ve Mali Yatirimlar Holding A.S.,1608466304,Turkey,N/A,Consumer Defensive,Packaged Foods
MGROS.IS,Migros Ticaret A.S.,73961603072,Turkey,N/A,Consumer Defensive,Grocery Stores
NETAS.IS,Netas Telekomünikasyon A.S.,3729725952,Turkey,N/A,Technology,Communication Equipment
NTHOL.IS,Net Holding A.S.,10685733888,Turkey,N/A,Consumer Cyclical,Travel Services
ODAS.IS,Odas Elektrik Üretim Sanayi Ticaret A.S.,18717999104,Turkey,N/A,Utilities,Utilities - Regulated Electric
OTKAR.IS,Otokar Otomotiv ve Savunma Sanayi A.S.,46055997440,Turkey,N/A,Consumer Cyclical,Auto Manufacturers
PETKM.IS,Petkim Petrokimya Holding Anonim Sirketi,59558400000,Turkey,N/A,Basic Materials,Chemicals
